variant,n_days,cum_return,sharpe,best_day,worst_day,win_rate,last_date,last_exposure,last_positions
market_spy,44,0.017008081394256358,1.0292871634231653,0.018029002715958642,-0.015387473482586067,0.29545454545454547,2026-09-24,1.0,1
equity_validated,62,0.003658723113282303,0.1847674394437316,0.025931407143622805,-0.024227778071483387,0.11290322580645161,2026-09-24,1.0004,17
equity_full_goal,62,-0.02956508588582274,-1.1054023421260861,0.023375737139388068,-0.025232465084271658,0.24193548387096775,2026-09-24,1.0004,17
crypto_full_goal,64,0.08182648504675916,3.055365997107959,0.04563989472161746,-0.00578544440326882,0.25,2026-09-24,0.36,3
full_system,64,0.03789816573728899,1.261121027440041,0.04563989472161746,-0.025232465084271658,0.203125,2026-09-24,0.36,3
full_system_max,58,0.04995271607526952,1.7746117798270036,0.04563989472161746,-0.025232465084271658,0.1896551724137931,2026-09-24,0.36,3
metals_full_goal,56,0.010364609916393652,1.1023842204676555,0.00670956713936888,-0.007613586963035523,0.375,2026-09-24,0.2,2
full_system_v6,57,0.005112621274834028,0.22459135219829554,0.04930896497226011,-0.029610145683706478,0.22807017543859648,2026-09-24,0.56,5
bonds_full_goal,44,-0.002379792938602243,-1.9353506687337867,0.0013491711030813869,-0.0011939198425711367,0.29545454545454547,2026-09-24,0.075,2
