date,sleeve,day_return,n_positions
2026-07-22,equity_validated,0.0,0
2026-07-22,full_system,0.0,0
2026-07-22,full_system_max,0.0,0
2026-07-22,full_system_v6,0.0,0
2026-07-22,market_spy,-0.0011627413779321527,1
2026-07-22,metals_full_goal,0.0030500880888968043,2
2026-07-23,bonds_full_goal,-0.00040805484028690053,2
2026-07-23,crypto_full_goal,-0.0018334062819147377,3
2026-07-23,equity_full_goal,0.0,0
2026-07-23,equity_validated,0.0,0
2026-07-23,full_system,0.0,0
2026-07-23,full_system_max,0.0,0
2026-07-23,full_system_v6,0.0,0
2026-07-23,market_spy,-0.012349287272575782,1
2026-07-23,metals_full_goal,-0.0026120142427056726,2
2026-07-24,bonds_full_goal,0.0,2
2026-07-24,equity_full_goal,0.0,17
2026-07-24,equity_validated,0.0,0
2026-07-24,market_spy,0.0,1
2026-07-24,metals_full_goal,0.0,2
2026-07-26,crypto_full_goal,0.0014339102236930396,3
2026-07-26,full_system,0.0,3
2026-07-26,full_system_max,0.0,3
2026-07-26,full_system_v6,0.0,0
2026-07-27,bonds_full_goal,0.00033269274360088474,2
2026-07-27,crypto_full_goal,-0.002564676352244588,3
2026-07-27,equity_full_goal,0.00212457177171571,17
2026-07-27,equity_validated,0.0,0
2026-07-27,full_system,-0.002564676352244588,3
2026-07-27,full_system_max,-0.002564676352244588,3
2026-07-27,full_system_v6,0.0,0
2026-07-27,market_spy,0.0002165755636849287,1
2026-07-27,metals_full_goal,0.0008600716682425485,2
2026-07-28,bonds_full_goal,0.00037538200152607837,2
2026-07-28,crypto_full_goal,0.0007657440109134399,3
2026-07-28,equity_full_goal,-0.005578103488792402,17
2026-07-28,equity_validated,0.0,17
2026-07-28,full_system,0.0007657440109134399,3
2026-07-28,full_system_max,0.0007657440109134399,3
2026-07-28,full_system_v6,0.0,3
2026-07-28,market_spy,0.002394780651586048,1
2026-07-28,metals_full_goal,-0.0027416850508583676,2
2026-07-29,bonds_full_goal,-0.0006174033629846795,2
2026-07-29,crypto_full_goal,-0.0003661397579247449,3
2026-07-29,equity_full_goal,-0.01649324907739829,17
2026-07-29,equity_validated,-0.01649324907739829,17
2026-07-29,full_system,-0.0003661397579247449,3
2026-07-29,full_system_max,-0.0003661397579247449,3
2026-07-29,full_system_v6,-0.0003661397579247449,3
2026-07-29,market_spy,-0.015387473482586067,1
2026-07-29,metals_full_goal,-0.0003446285701658705,2
2026-07-30,bonds_full_goal,0.0001386309932698837,2
2026-07-30,crypto_full_goal,0.001209478700505522,3
2026-07-30,equity_full_goal,0.01695410271400782,17
2026-07-30,equity_validated,0.017186539669805313,17
2026-07-30,full_system,0.001209478700505522,3
2026-07-30,full_system_max,0.001209478700505522,3
2026-07-30,full_system_v6,0.001209478700505522,3
2026-07-30,market_spy,0.01676579949601198,1
2026-07-30,metals_full_goal,0.004703194540436323,2
2026-07-31,bonds_full_goal,-0.0002683172293220515,2
2026-07-31,equity_full_goal,-0.000238252043933172,17
2026-07-31,equity_validated,-0.000238252043933172,17
2026-07-31,market_spy,0.007199809675054292,1
2026-07-31,metals_full_goal,-0.002319016663493186,2
2026-08-02,crypto_full_goal,0.0019769668569720495,3
2026-08-02,full_system,0.0019769668569720495,3
2026-08-02,full_system_max,0.0019769668569720495,3
2026-08-02,full_system_v6,0.0019769668569720495,3
